Resort,GoogleMapsDirectionsURL
"Esashi Town Mikasayama Ski Area","https://www.google.com/maps/dir/?api=1&destination=Esashi%20Town%20Mikasayama%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Nakatonbetsu Town Kotobuki Ski Area","https://www.google.com/maps/dir/?api=1&destination=Nakatonbetsu%20Town%20Kotobuki%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Saroma Town Ski Area","https://www.google.com/maps/dir/?api=1&destination=Saroma%20Town%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Sarufutsu Village Ski Area","https://www.google.com/maps/dir/?api=1&destination=Sarufutsu%20Village%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Tenpoku Ski Area","https://www.google.com/maps/dir/?api=1&destination=Tenpoku%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Toyotomi Town Toyotomi Onsen Ski Area","https://www.google.com/maps/dir/?api=1&destination=Toyotomi%20Town%20Toyotomi%20Onsen%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Wakkanai City Komadori Ski Area","https://www.google.com/maps/dir/?api=1&destination=Wakkanai%20City%20Komadori%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Alpha Resort Tomamu","https://www.google.com/maps/dir/?api=1&destination=Alpha%20Resort%20Tomamu%2C%20Hokkaido%2C%20Japan"
"Asahi Ski Area","https://www.google.com/maps/dir/?api=1&destination=Asahi%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Asahigatake Ski Course","https://www.google.com/maps/dir/?api=1&destination=Asahigatake%20Ski%20Course%2C%20Hokkaido%2C%20Japan"
"Asahiyama City Ski Area","https://www.google.com/maps/dir/?api=1&destination=Asahiyama%20City%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Bifuka Ski Area","https://www.google.com/maps/dir/?api=1&destination=Bifuka%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Canmore Ski Village","https://www.google.com/maps/dir/?api=1&destination=Canmore%20Ski%20Village%2C%20Hokkaido%2C%20Japan"
"Daisetsuzan Kurodake Ski Area","https://www.google.com/maps/dir/?api=1&destination=Daisetsuzan%20Kurodake%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Furano Ski Resort","https://www.google.com/maps/dir/?api=1&destination=Furano%20Ski%20Resort%2C%20Hokkaido%2C%20Japan"
"Hinode Ski Area","https://www.google.com/maps/dir/?api=1&destination=Hinode%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Inosawa City Ski Area","https://www.google.com/maps/dir/?api=1&destination=Inosawa%20City%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Kamui Ski Area","https://www.google.com/maps/dir/?api=1&destination=Kamui%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Kenbuchi Town Bibakarasu Ski Area","https://www.google.com/maps/dir/?api=1&destination=Kenbuchi%20Town%20Bibakarasu%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Minami Furano Ski Area","https://www.google.com/maps/dir/?api=1&destination=Minami%20Furano%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Nakafurano Hokusei Ski Area","https://www.google.com/maps/dir/?api=1&destination=Nakafurano%20Hokusei%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Nayoro Piyashiri Ski Area","https://www.google.com/maps/dir/?api=1&destination=Nayoro%20Piyashiri%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
